Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable
Toyota,Prado,2019,Gulf Arabic,White,Full,4.0,Gas,Automatic,58000,Riyadh,151000,False
Chevrolet,Tahoe,2016,Saudi,Blue,Full,5.6,Gas,Automatic,168000,Riyadh,115500,False
Mazda,3,2018,Saudi,Another Color,Standard,2.0,Gas,Automatic,31000,Al-Medina,54000,False
Mazda,3,2018,Saudi,Another Color,Standard,1.8,Gas,Automatic,53000,Al-Medina,54000,False
Mazda,3,2018,Saudi,Another Color,Standard,1.8,Gas,Automatic,54000,Al-Medina,54000,False
Mazda,3,2018,Saudi,Silver,Standard,1.8,Gas,Automatic,23000,Al-Medina,55000,False
Mazda,CX3,2018,Saudi,Blue,Semi Full,2.9,Gas,Automatic,78000,Al-Medina,54000,False
Mazda,CX3,2018,Saudi,White,Standard,2.0,Gas,Automatic,30000,Al-Medina,54000,False
Mazda,CX3,2018,Saudi,Another Color,Standard,2.0,Gas,Automatic,31000,Al-Medina,55000,False
Mazda,3,2019,Saudi,White,Standard,1.6,Gas,Automatic,53000,Al-Medina,46500,False
Toyota,Prado,2019,Gulf Arabic,White,Full,4.0,Gas,Automatic,82000,Riyadh,149500,False
Lexus,LX,2015,Saudi,Golden,Full,5.7,Gas,Automatic,157000,Al-Medina,0,True
Hyundai,Tucson,2017,Saudi,Blue,Full,2.4,Gas,Automatic,89000,Al-Medina,0,True
GMC,Yukon,2016,Saudi,Golden,Full,4.0,Gas,Automatic,139000,Al-Medina,0,True
Mitsubishi,Pajero,2017,Other,White,Semi Full,3.5,Gas,Automatic,87000,Al-Medina,0,True
Chevrolet,Tahoe,2020,Saudi,Silver,Standard,4.0,Gas,Automatic,9000,Al-Medina,0,True
GMC,Yukon,2016,Saudi,Another Color,Standard,4.0,Gas,Automatic,75000,Al-Medina,0,True
GMC,Yukon,2015,Saudi,Another Color,Standard,4.0,Gas,Automatic,124000,Al-Medina,0,True
Hyundai,Accent,2018,Saudi,Black,Standard,1.4,Gas,Automatic,105000,Riyadh,35000,False
Land Rover,Range Rover,2017,Saudi,White,Full,5.2,Gas,Automatic,77000,Al-Medina,275000,False
Porsche,Panamera,2011,Saudi,White,Full,5.7,Gas,Automatic,108000,Al-Medina,99000,False
Mercedes,S,2011,Saudi,White,Full,3.8,Gas,Automatic,203000,Al-Medina,98000,False
Honda,Accord,2018,Saudi,Silver,Full,1.5,Gas,Automatic,70000,Al-Medina,96000,False
Mercedes,S,2011,Gulf Arabic,White,Full,3.8,Gas,Automatic,132000,Al-Medina,90000,False
Mercedes,S,2010,Saudi,Brown,Full,3.8,Gas,Automatic,114000,Al-Medina,88000,False
Toyota,Avalon,2014,Saudi,Black,Full,3.8,Gas,Automatic,156000,Al-Medina,73000,False
Chevrolet,Camaro,2013,Saudi,Grey,Full,5.7,Gas,Automatic,137000,Al-Medina,63000,False
Mazda,CX3,2018,Saudi,Brown,Standard,2.0,Gas,Automatic,49000,Al-Medina,55000,False
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,84000,Al-Medina,51000,False
Mazda,3,2018,Saudi,Black,Standard,1.6,Gas,Automatic,99000,Al-Medina,45000,False
Toyota,Innova,2014,Saudi,White,Standard,2.5,Gas,Automatic,163000,Al-Medina,39000,False
Toyota,Hilux,2020,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,27000,Riyadh,104500,False
Lexus,ES,2018,Gulf Arabic,White,Full,3.5,Gas,Automatic,128000,Riyadh,93500,False
Toyota,Previa,2017,Gulf Arabic,White,Standard,2.4,Gas,Automatic,139000,Riyadh,62000,False
Mazda,3,2016,Gulf Arabic,White,Semi Full,2.0,Gas,Automatic,129000,Riyadh,31000,False
Toyota,Hilux,2018,Saudi,White,Full,2.4,Gas,Automatic,141000,Al-Medina,0,True
Toyota,Camry,2006,Saudi,Silver,Full,2.4,Gas,Manual,600000,Al-Medina,0,True
Toyota,Land Cruiser 70,2016,Saudi,White,Semi Full,2.7,Gas,Manual,182000,Al-Medina,0,True
Toyota,Hilux,2010,Saudi,White,Full,2.7,Gas,Manual,468000,Al-Medina,0,True
Lexus,LX,2021,Saudi,White,Full,5.7,Gas,Automatic,4500,Al-Medina,460500,False
Land Rover,Range Rover,2019,Saudi,Black,Full,5.6,Gas,Automatic,36000,Riyadh,520000,False
Toyota,Hilux,2017,Saudi,White,Full,2.7,Gas,Manual,119000,Najran,69000,False
Nissan,Pathfinder,2013,Saudi,Silver,Semi Full,3.5,Gas,Automatic,127000,Riyadh,38000,False
Hyundai,Elantra,2017,Saudi,Grey,Standard,2.0,Gas,Automatic,146000,Riyadh,40000,False
Toyota,Camry,2020,Saudi,White,Full,3.5,Gas,Automatic,26000,Dammam,126000,False
Toyota,Furniture,2019,Saudi,White,Full,1.1,Gas,Automatic,166,Riyadh,0,True
Hummer,H3,2007,Saudi,White,Full,3.5,Gas,Automatic,411000,Riyadh,0,True
Nissan,VTC,2019,Saudi,Grey,Standard,4.8,Gas,Automatic,100,Arar,138000,False
Mitsubishi,Pajero,2016,Gulf Arabic,White,Full,3.8,Gas,Automatic,260000,Riyadh,60000,False
Honda,Accord,2018,Saudi,White,Semi Full,1.5,Gas,Automatic,28500,Qassim,0,True
Nissan,Patrol,2008,Unknown,White,Full,4.0,Gas,Automatic,44000,Riyadh,0,True
Toyota,Hilux,2020,Saudi,White,Full,2.7,Gas,Automatic,22000,Al-Ahsa,120000,False
Chrysler,300,2014,Other,Black,Full,5.7,Gas,Automatic,188000,Al-Ahsa,57000,False
Kia,Carenz,2015,Saudi,Black,Standard,2.0,Gas,Automatic,102000,Al-Ahsa,40000,False
Hyundai,Accent,2018,Saudi,White,Semi Full,1.4,Gas,Automatic,95000,Al-Ahsa,41000,False
Ford,Edge,2016,Saudi,White,Semi Full,3.5,Gas,Automatic,198000,Al-Ahsa,69000,False
Toyota,Corolla,2018,Saudi,Silver,Standard,1.6,Gas,Automatic,110000,Al-Ahsa,51000,False
Kia,Rio,2016,Saudi,Grey,Full,1.4,Gas,Automatic,91000,Al-Ahsa,37000,False
Chrysler,300,2018,Saudi,Silver,Full,5.7,Gas,Automatic,157000,Al-Ahsa,127000,False
Ford,Other,2016,Saudi,Another Color,Full,3.2,Gas,Automatic,15500,Riyadh,90000,False
Ford,Other,1963,Saudi,Blue,Standard,1.0,Gas,Manual,300,Riyadh,22000,False
Chevrolet,Suburban,1988,Saudi,Black,Standard,5.3,Gas,Automatic,150000,Riyadh,0,True
Lexus,IS,2017,Saudi,Grey,Full,3.5,Gas,Automatic,69000,Jazan,150000,False
Hyundai,Sonata,2017,Saudi,White,Standard,2.4,Gas,Automatic,105000,Al-Ahsa,55000,False
Fiat,Doblo,2015,Saudi,White,Standard,1.4,Gas,Manual,119000,Al-Ahsa,25000,False
Ford,Taurus,2019,Other,Red,Semi Full,3.5,Gas,Automatic,108000,Al-Ahsa,88000,False
Nissan,Sentra,2018,Saudi,Silver,Semi Full,1.6,Gas,Automatic,62000,Al-Ahsa,41000,False
Hyundai,Tucson,2016,Other,Brown,Semi Full,2.4,Gas,Automatic,119800,Jeddah,57000,False
Ford,Edge,2016,Saudi,Grey,Full,3.5,Gas,Automatic,97000,Riyadh,0,True
Toyota,FJ,2013,Unknown,White,Full,4.0,Gas,Automatic,228000,Qassim,0,True
Nissan,Datsun,2014,Other,White,Standard,2.4,Gas,Manual,282,Riyadh,24000,False
Ford,Taurus,2014,Saudi,White,Semi Full,6.0,Gas,Automatic,265,Taef,0,True
BMW,The 7,2003,Saudi,White,Full,2.0,Gas,Automatic,300,Jeddah,0,True
Chevrolet,Suburban,2008,Other,Black,Full,5.3,Gas,Automatic,263,Taef,32000,False
Toyota,Hiace,2013,Saudi,White,Semi Full,2.7,Gas,Manual,68000,Jeddah,0,True
Toyota,Camry,2020,Saudi,White,Full,3.5,Gas,Automatic,13500,Jeddah,0,True
Nissan,Altima,2010,Saudi,Silver,Standard,2.5,Gas,Automatic,289000,Jeddah,0,True
Toyota,Corolla,2018,Saudi,Grey,Standard,1.6,Gas,Automatic,65000,Taef,52000,False
Chrysler,C300,2013,Saudi,White,Full,5.7,Gas,Automatic,200,Makkah,55000,False
Mitsubishi,Nativa,2010,Saudi,Silver,Semi Full,3.0,Gas,Automatic,244,Hail,17000,False
Volkswagen,Beetle,2015,Saudi,Blue,Full,6.0,Gas,Automatic,130000,Makkah,55000,False
Nissan,VTC,2015,Saudi,White,Standard,4.8,Gas,Manual,340000,Al-Ahsa,49000,False
Chrysler,300,2007,Saudi,Bronze,Full,3.5,Gas,Automatic,30000,Riyadh,0,True
Toyota,Hilux,1995,Saudi,White,Full,2.4,Gas,Manual,300,Aseer,15000,False
Ford,Marquis,1999,Other,Golden,Full,4.6,Gas,Automatic,336737,Al-Baha,0,True
Ford,Explorer,2010,Other,White,Semi Full,3.5,Gas,Automatic,390000,Riyadh,0,True
GMC,Yukon,2011,Saudi,Black,Full,5.3,Gas,Automatic,333000,Hail,0,True
Chevrolet,Avalanche,2010,Saudi,White,Full,5.2,Gas,Automatic,385,Riyadh,0,True
BMW,The 4,2018,Gulf Arabic,Blue,Full,2.0,Gas,Automatic,45000,Riyadh,0,True
Ford,Fusion,2012,Other,Silver,Semi Full,2.5,Gas,Automatic,300000,Dammam,18000,False
Toyota,Other,2014,Saudi,White,Semi Full,2.7,Gas,Automatic,380,Tabouk,0,True
Hyundai,Azera,2016,Saudi,White,Semi Full,2.4,Gas,Automatic,36000,Riyadh,48000,False
Nissan,Datsun,2004,Saudi,White,Standard,2.4,Gas,Manual,300000,Riyadh,0,True
Mitsubishi,Pajero,2016,Saudi,White,Semi Full,3.5,Gas,Automatic,193000,Riyadh,45000,False
Nissan,Maxima,2017,Saudi,White,Full,3.5,Gas,Automatic,170000,Riyadh,0,True
Toyota,Cressida,1993,Saudi,White,Standard,2.4,Gas,Manual,300,Al-Medina,0,True
Toyota,Camry,2006,Saudi,Golden,Full,4.0,Gas,Automatic,263,Aseer,0,True
Toyota,Land Cruiser 70,2016,Gulf Arabic,White,Full,4.5,Gas,Manual,127430,Aseer,0,True
Toyota,Land Cruiser,2020,Saudi,White,Full,4.6,Gas,Automatic,46800,Dammam,257000,False
Toyota,Land Cruiser 70,2018,Saudi,Another Color,Semi Full,4.0,Gas,Manual,45497,Hail,0,True
Lexus,ES,2015,Other,White,Full,3.5,Gas,Automatic,96000,Jeddah,0,True
Ford,Marquis,1999,Other,Golden,Full,4.6,Gas,Automatic,388000,Najran,10000,False
Nissan,Patrol,2015,Saudi,White,Semi Full,4.8,Gas,Automatic,247000,Jeddah,75000,False
Lexus,NX,2020,Saudi,White,Full,2.0,Gas,Automatic,4100,Jeddah,170000,False
Lexus,LX,2017,Saudi,White,Full,5.7,Gas,Automatic,29443,Riyadh,0,True
Mercedes,S,2011,Saudi,Brown,Full,3.0,Gas,Automatic,137000,Jeddah,85000,False
GMC,Yukon,2007,Other,Silver,Standard,5.3,Gas,Automatic,355000,Abha,0,True
Nissan,Datsun,2013,Saudi,White,Semi Full,1.6,Gas,Manual,171549,Riyadh,0,True
Kia,Rio,2016,Saudi,White,Standard,1.4,Gas,Automatic,125000,Riyadh,0,True
Nissan,Sunny,2019,Other,White,Semi Full,1.5,Gas,Automatic,46000,Jeddah,32000,False
GMC,Yukon,2008,Saudi,Golden,Semi Full,5.3,Gas,Automatic,280000,Taef,42000,False
Ford,Marquis,2003,Other,Golden,Full,4.6,Gas,Automatic,417000,Jeddah,0,True
Toyota,Hilux,2014,Saudi,White,Full,2.7,Gas,Manual,293000,Riyadh,0,True
Lexus,LS,2014,Saudi,White,Full,4.6,Gas,Automatic,22400,Jeddah,0,True
Honda,Accord,2005,Saudi,Black,Full,2.0,Gas,Automatic,530000,Aseer,0,True
Nissan,Navara,2016,Saudi,White,Standard,2.5,Gas,Manual,7000,Jeddah,65000,False
Nissan,Patrol,2016,Saudi,White,Standard,4.8,Gas,Automatic,59000,Jeddah,83000,False
GMC,Suburban,1981,Saudi,Brown,Semi Full,5.3,Gas,Automatic,74000,Al-Medina,0,True
Hyundai,Tucson,2020,Saudi,Silver,Semi Full,2.0,Gas,Automatic,58000,Makkah,1313,False
Dodge,Charger,2014,Other,Red,Full,3.6,Gas,Automatic,300000,Jeddah,35000,False
Toyota,Hilux,2016,Saudi,White,Full,2.7,Gas,Manual,190000,Al-Baha,65000,False
Mitsubishi,Pajero,2017,Saudi,Another Color,Full,3.8,Gas,Automatic,28000,Jeddah,88000,False
Kia,Carnival,2016,Saudi,Black,Standard,2.0,Gas,Automatic,144000,Dammam,0,True
Nissan,Land Cruiser Pickup,2011,Saudi,White,Semi Full,6.0,Gas,Manual,236564,Taef,37000,False
Lexus,RX,2015,Saudi,Grey,Standard,3.5,Gas,Automatic,70000,Jeddah,95000,False
BMW,The 7,2019,Saudi,White,Full,3.0,Gas,Automatic,14000,Jeddah,247000,False
Suzuki,Ertiga,2015,Saudi,White,Semi Full,1.8,Gas,Automatic,168000,Al-Medina,22000,False
Ford,Flex,2015,Saudi,White,Full,6.0,Gas,Automatic,134800,Al-Jouf,0,True
Ford,Expedition,2004,Saudi,Black,Full,5.4,Gas,Automatic,231091,Jubail,0,True
Toyota,Furniture,2015,Saudi,White,Standard,2.7,Gas,Manual,200000,Hail,0,True
Nissan,Altima,1994,Other,White,Full,2.5,Gas,Manual,300000,Dammam,0,True
Hyundai,Tucson,2015,Saudi,Silver,Full,1.1,Gas,Automatic,2000,Al-Medina,0,True
Chevrolet,Tahoe,2007,Other,Another Color,Full,5.3,Gas,Automatic,128,Jeddah,35000,False
Mercedes,E,2016,Saudi,White,Full,2.0,Gas,Automatic,94000,Riyadh,110000,False
GMC,Yukon,2020,Other,Black,Full,5.3,Gas,Automatic,63860,Jeddah,175000,False
MINI,Copper,2015,Saudi,Grey,Semi Full,2.0,Gas,Manual,235000,Dammam,0,True
Lexus,LX,2020,Saudi,White,Full,5.7,Gas,Automatic,24000,Riyadh,0,True
Toyota,Furniture,2014,Saudi,Grey,Full,1.5,Gas,Automatic,265560,Khobar,0,True
Ford,Edge,2016,Saudi,Brown,Full,3.5,Gas,Automatic,76200,Dammam,77000,False
Mitsubishi,Pajero,2017,Saudi,Black,Full,3.8,Gas,Automatic,251000,Jeddah,65000,False
Ford,Victoria,2006,Saudi,Oily,Semi Full,4.6,Gas,Automatic,365000,Tabouk,0,True
Changan,CS35,2021,Saudi,White,Full,8.5,Gas,Automatic,30000,Jazan,0,True
Hyundai,H1,2016,Other,Grey,Semi Full,2.4,Gas,Automatic,280000,Makkah,32000,False
Hyundai,Tucson,2020,Saudi,Bronze,Semi Full,2.0,Gas,Automatic,22000,Jeddah,80000,False
Nissan,Sentra,2020,Saudi,White,Semi Full,1.6,Gas,Automatic,7000,Aseer,55000,False
GMC,Yukon,2020,Saudi,Silver,Full,5.3,Gas,Automatic,19400,Aseer,0,True
Toyota,4Runner,2018,Saudi,White,Full,6.1,Gas,Automatic,115150,Jeddah,95000,False
Volkswagen,Passat,2015,Other,Silver,Full,2.5,Diesel,Automatic,70000,Jeddah,73000,False
Ford,Expedition,2012,Saudi,Silver,Standard,5.4,Gas,Automatic,360000,Riyadh,30000,False
Dodge,Charger,2013,Saudi,Red,Full,5.7,Gas,Automatic,144000,Yanbu,59000,False
Nissan,Pathfinder,2005,Saudi,Black,Full,3.5,Gas,Manual,317000,Riyadh,0,True
Lexus,LX,2012,Gulf Arabic,White,Full,5.7,Gas,Automatic,377,Riyadh,0,True
Kia,Rio,2011,Other,White,Semi Full,1.4,Gas,Manual,240000,Jeddah,0,True
Mercedes,C,2016,Other,Navy,Full,2.2,Gas,Automatic,95000,Jeddah,127000,False
Hyundai,Senta fe,2014,Other,White,Semi Full,6.1,Gas,Automatic,300000,Aseer,0,True
BMW,The 7,2018,Saudi,White,Full,2.0,Gas,Automatic,52000,Riyadh,200000,False
Toyota,Avalon,2017,Saudi,White,Standard,1.2,Gas,Automatic,200000,Riyadh,80000,False
Lexus,ES,2016,Other,Bronze,Semi Full,3.5,Gas,Automatic,104000,Al-Ahsa,98000,False
Chrysler,C300,2017,Other,Silver,Semi Full,3.6,Gas,Automatic,77000,Al-Ahsa,82000,False
Chrysler,C300,2016,Other,White,Semi Full,3.6,Gas,Automatic,100000,Al-Ahsa,79500,False
Kia,Rio,2016,Saudi,Silver,Standard,1.4,Gas,Automatic,119000,Dammam,20000,False
Toyota,Camry,2002,Other,Green,Standard,2.4,Gas,Manual,450000,Najran,14000,False
Toyota,Prado,2018,Saudi,White,Full,1.5,Gas,Automatic,130,Qassim,0,True
Lexus,LX,2019,Saudi,Black,Full,5.7,Gas,Automatic,68000,Riyadh,0,True
GAC,GS3,2021,Saudi,White,Full,1.3,Gas,Automatic,9000,Al-Ahsa,57000,False
Toyota,Innova,2015,Saudi,White,Standard,2.7,Gas,Automatic,452000,Riyadh,0,True
Toyota,Ciocca,2009,Saudi,Grey,Semi Full,5.7,Gas,Automatic,349900,Makkah,25000,False
Ford,Other,2008,Saudi,Another Color,Semi Full,1.0,Gas,Automatic,1910000,Jeddah,0,True
INFINITI,QX,2015,Saudi,Grey,Full,5.0,Gas,Automatic,123000,Riyadh,70000,False
Toyota,Furniture,2019,Saudi,White,Semi Full,2.7,Gas,Automatic,37000,Dammam,107000,False
Hyundai,Sonata,2018,Saudi,Another Color,Standard,2.4,Gas,Automatic,68000,Riyadh,53000,False
GMC,Yukon,2004,Other,Black,Full,5.3,Gas,Automatic,103000,Riyadh,0,True
Kia,Rio,2015,Saudi,Red,Standard,1.6,Gas,Automatic,150,Riyadh,22000,False
Kia,Sportage,2018,Saudi,White,Standard,2.0,Gas,Automatic,129000,Dammam,60000,False
Changan,Eado,2021,Saudi,Brown,Full,1.6,Gas,Automatic,1000,Jeddah,60000,False
Toyota,Hilux,2017,Saudi,White,Full,1.7,Gas,Automatic,119000,Dammam,0,True
Toyota,Avalon,2020,Saudi,Black,Full,3.5,Gas,Automatic,48000,Al-Medina,2465,False
Maserati,Quattroporte,2015,Saudi,Navy,Full,3.0,Gas,Automatic,125000,Dammam,125000,False
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,108000,Dammam,34000,False
Nissan,Datsun,2016,Saudi,White,Semi Full,2.4,Gas,Manual,39000,Dammam,52000,False
Ford,Taurus,2019,Saudi,White,Standard,3.0,Gas,Automatic,77000,Riyadh,77000,False
Lexus,GS,2017,Gulf Arabic,White,Full,1.0,Gas,Automatic,69000,Al-Ahsa,163000,False
Toyota,Furniture,2019,Other,White,Standard,2.7,Gas,Automatic,69000,Najran,0,True
Hyundai,Senta fe,2016,Saudi,White,Full,3.3,Gas,Automatic,131000,Al-Ahsa,60000,False
Jaguar,XF,2013,Other,Red,Semi Full,3.0,Gas,Automatic,70000,Riyadh,0,True
Chevrolet,Optra,2011,Saudi,Golden,Full,1.6,Gas,Automatic,275000,Makkah,0,True
Chevrolet,Optra,2008,Saudi,Bronze,Semi Full,1.6,Gas,Automatic,250000,Makkah,0,True
GMC,Sierra,2002,Gulf Arabic,White,Standard,1.4,Gas,Manual,252000,Makkah,12500,False
Ford,F150,2014,Saudi,Blue,Semi Full,5.0,Gas,Automatic,169000,Khobar,0,True
Toyota,FJ,2012,Saudi,White,Standard,4.0,Gas,Automatic,373000,Riyadh,0,True
Toyota,Land Cruiser,2016,Saudi,White,Full,4.6,Gas,Automatic,228000,Dammam,160000,False
Mercedes,S,2014,Saudi,Black,Full,3.0,Gas,Automatic,90000,Riyadh,220000,False
Toyota,Hilux,2018,Saudi,White,Semi Full,2.7,Gas,Manual,31000,Dammam,72000,False
Chevrolet,Caprice,2013,Saudi,Silver,Standard,6.0,Gas,Automatic,93000,Dammam,79000,False
Ford,Edge,2014,Saudi,White,Full,3.5,Gas,Automatic,186000,Al-Ahsa,54000,False
Ford,Edge,2017,Gulf Arabic,White,Full,1.7,Gas,Automatic,60000,Al-Ahsa,105000,False
Cadillac,Escalade,2015,Saudi,Brown,Full,8.3,Gas,Automatic,241000,Al-Medina,140000,False
Toyota,Land Cruiser,2002,Saudi,White,Semi Full,4.6,Gas,Manual,600000,Qassim,0,True
Dodge,Charger,2012,Saudi,Red,Standard,3.6,Gas,Automatic,300,Jeddah,38000,False
Chevrolet,Tahoe,2008,Saudi,Blue,Full,5.3,Gas,Automatic,256,Jeddah,0,True
Mercedes,C,2018,Gulf Arabic,Silver,Full,2.0,Gas,Automatic,57000,Dammam,175000,False
Hyundai,Accent,2019,Saudi,Grey,Standard,1.4,Gas,Automatic,115300,Dammam,35000,False
Audi,A6,2014,Saudi,White,Full,3.5,Gas,Automatic,79000,Jeddah,85000,False
Mercedes,C,2016,Saudi,Another Color,Full,2.0,Gas,Automatic,46000,Jeddah,142000,False
Land Rover,Defender,2020,Saudi,Silver,Semi Full,4.0,Gas,Automatic,17000,Riyadh,0,True
Nissan,Sunny,2019,Saudi,Silver,Semi Full,1.5,Gas,Automatic,89300,Riyadh,0,True
