Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,18-03-2011,1576818.06,0,62.76,3.488,214.3627114,7.742
1,25-03-2011,1541102.38,0,69.97,3.473,214.5999389,7.742
1,01-04-2011,1495064.75,0,59.17,3.524,214.8371664,7.682
1,08-04-2011,1614259.35,0,67.84,3.622,215.0743939,7.682
1,15-04-2011,1559889,0,71.27,3.743,215.2918561,7.682
1,22-04-2011,1564819.81,0,72.99,3.807,215.4599053,7.682
1,29-04-2011,1455090.69,0,72.03,3.81,215.6279544,7.682
1,06-05-2011,1629391.28,0,64.61,3.906,215.7960035,7.682
1,13-05-2011,1604775.58,0,75.64,3.899,215.9640526,7.682
1,20-05-2011,1428218.27,0,67.63,3.907,215.7339202,7.682
1,27-05-2011,1466046.67,0,77.72,3.786,215.5037878,7.682
1,03-06-2011,1635078.41,0,83,3.699,215.2736553,7.682
1,10-06-2011,1588948.32,0,83.13,3.648,215.0435229,7.682
1,17-06-2011,1532114.86,0,86.41,3.637,214.9980596,7.682
1,24-06-2011,1438830.15,0,83.58,3.594,215.0910982,7.682
1,01-07-2011,1488538.09,0,85.55,3.524,215.1841368,7.962
1,08-07-2011,1534849.64,0,85.83,3.48,215.2771754,7.962
1,15-07-2011,1455119.97,0,88.54,3.575,215.3611087,7.962
1,22-07-2011,1396926.82,0,85.77,3.651,215.4222784,7.962
1,29-07-2011,1352219.79,0,86.83,3.682,215.4834482,7.962
1,05-08-2011,1624383.75,0,91.65,3.684,215.544618,7.962
1,12-08-2011,1525147.09,0,90.76,3.638,215.6057878,7.962
1,19-08-2011,1530761.43,0,89.94,3.554,215.6693107,7.962
1,26-08-2011,1464693.46,0,87.96,3.523,215.7332258,7.962
1,02-09-2011,1550229.22,0,87.83,3.533,215.7971409,7.962
1,09-09-2011,1540471.24,1,76,3.546,215.861056,7.962
1,16-09-2011,1514259.78,0,79.94,3.526,216.0410526,7.962
1,23-09-2011,1380020.27,0,75.8,3.467,216.3758246,7.962
1,30-09-2011,1394561.83,0,79.69,3.355,216.7105965,7.962
1,07-10-2011,1630989.95,0,69.31,3.285,217.0453684,7.866
1,14-10-2011,1493525.93,0,71.74,3.274,217.3552733,7.866
1,21-10-2011,1502562.78,0,63.71,3.353,217.5159762,7.866
1,28-10-2011,1445249.09,0,66.57,3.372,217.6766791,7.866
1,04-11-2011,1697229.58,0,54.98,3.332,217.837382,7.866
1,11-11-2011,1594938.89,0,59.11,3.297,217.9980849,7.866
1,18-11-2011,1539483.7,0,62.25,3.308,218.2205088,7.866
1,25-11-2011,2033320.66,1,60.14,3.236,218.4676211,7.866
1,02-12-2011,1584083.95,0,48.91,3.172,218.7147333,7.866
1,09-12-2011,1799682.38,0,43.93,3.158,218.9618456,7.866
1,16-12-2011,1881176.67,0,51.63,3.159,219.1794533,7.866
1,23-12-2011,2270188.99,0,47.96,3.112,219.3577216,7.866
1,30-12-2011,1497462.72,1,44.55,3.129,219.5359898,7.866
1,06-01-2012,1550369.92,0,49.01,3.157,219.7142581,7.348
1,13-01-2012,1459601.17,0,48.53,3.261,219.8925263,7.348
1,20-01-2012,1394393.84,0,54.11,3.268,219.9856893,7.348
1,27-01-2012,1319325.59,0,54.26,3.29,220.0788523,7.348
1,03-02-2012,1636339.65,0,56.55,3.36,220.1720153,7.348
1,10-02-2012,1802477.43,1,48.02,3.409,220.2651783,7.348
1,17-02-2012,1819870,0,45.32,3.51,220.4257586,7.348
1,24-02-2012,1539387.83,0,57.25,3.555,220.636902,7.348
1,02-03-2012,1688420.76,0,60.96,3.63,220.8480454,7.348
1,09-03-2012,1675431.16,0,58.76,3.669,221.0591887,7.348
1,16-03-2012,1677472.78,0,64.74,3.734,221.2118132,7.348
1,23-03-2012,1511068.07,0,65.93,3.787,221.2864126,7.348
1,30-03-2012,1649604.63,0,67.61,3.845,221.3610119,7.348
1,06-04-2012,1899676.88,0,70.43,3.891,221.4356112,7.143
1,13-04-2012,1621031.7,0,69.07,3.891,221.5102105,7.143
1,20-04-2012,1521577.87,0,66.76,3.877,221.5640737,7.143
1,27-04-2012,1468928.37,0,67.23,3.814,221.6179368,7.143
1,04-05-2012,1684519.99,0,75.55,3.749,221.6718,7.143
1,11-05-2012,1611096.05,0,73.77,3.688,221.7256632,7.143
1,18-05-2012,1595901.87,0,70.33,3.63,221.742674,7.143
1,25-05-2012,1555444.55,0,77.22,3.561,221.744944,7.143
1,01-06-2012,1624477.58,0,77.95,3.501,221.7472139,7.143
1,08-06-2012,1697230.96,0,78.3,3.452,221.7494839,7.143
1,15-06-2012,1630607,0,79.35,3.393,221.7626421,7.143
1,22-06-2012,1527845.81,0,78.39,3.346,221.8030211,7.143
1,29-06-2012,1540421.49,0,84.88,3.286,221.8434,7.143
1,06-07-2012,1769854.16,0,81.57,3.227,221.8837789,6.908
1,13-07-2012,1527014.04,0,77.12,3.256,221.9241579,6.908
1,20-07-2012,1497954.76,0,80.42,3.311,221.9327267,6.908
1,27-07-2012,1439123.71,0,82.66,3.407,221.9412954,6.908
1,03-08-2012,1631135.79,0,86.11,3.417,221.9498642,6.908
1,10-08-2012,1592409.97,0,85.05,3.494,221.9584329,6.908
1,17-08-2012,1597868.05,0,84.85,3.571,222.0384109,6.908
1,24-08-2012,1494122.38,0,77.66,3.62,222.1719457,6.908
1,31-08-2012,1582083.4,0,80.49,3.638,222.3054805,6.908
1,07-09-2012,1661767.33,1,83.96,3.73,222.4390153,6.908
1,14-09-2012,1517428.87,0,74.97,3.717,222.5820193,6.908
1,21-09-2012,1506126.06,0,69.87,3.721,222.7818386,6.908
1,28-09-2012,1437059.26,0,76.08,3.666,222.9816579,6.908
1,05-10-2012,1670785.97,0,68.55,3.617,223.1814772,6.573
1,12-10-2012,1573072.81,0,62.99,3.601,223.3812965,6.573
1,19-10-2012,1508068.77,0,67.97,3.594,223.4257233,6.573
1,26-10-2012,1493659.74,0,69.16,3.506,223.4442513,6.573
